"","explore","defeat","adventure","solve","strategy_tactics","collect_gather","attack","destroy_devastate_wreck","rescue","defend","mission","shoot","fight","battle","race","discover_reveal","combat"
"935846",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"938583",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"939799",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"941981",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"942010",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"942088",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"943284",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"944412",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"944602",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"944716",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"944975",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"945010",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"945044",1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"945167",0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"945168",0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"945572",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"945947",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"945951",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"950926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"951184",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"951686",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
