"","tournament_competition","realistic_accurate","enemy","team_group_crew_squad","dangerous","action","level_stage","city","fast","story","licensed_content_video_games","human_race_mankind"
"617357",1,0,0,0,0,0,0,0,0,0,0,0
"958777",0,1,0,0,0,0,0,0,0,0,0,0
"960521",1,1,1,0,0,0,0,0,0,0,0,0
"960629",0,1,0,0,0,0,0,0,0,0,0,0
"973379",0,1,1,1,0,0,0,0,0,0,0,0
"977020",0,0,0,0,1,0,0,0,0,0,0,0
"981301",1,1,0,0,0,1,0,0,0,0,0,0
"986202",0,0,0,0,0,0,1,0,0,0,0,0
"986258",1,0,0,1,0,0,0,0,0,0,0,0
"990635",0,1,0,0,0,0,0,0,0,0,0,0
"991039",0,0,0,0,0,0,0,1,0,0,0,0
"991339",1,1,0,0,0,0,0,0,0,0,0,0
"991352",0,0,0,0,1,1,1,0,1,0,0,0
"995068",0,0,0,0,0,0,0,0,1,0,0,0
"996719",0,0,0,0,0,1,0,0,0,1,1,0
"996875",1,1,0,0,0,0,0,0,0,0,0,0
"997427",0,1,0,0,0,0,0,0,0,0,0,0
"997571",0,0,0,0,1,0,0,0,0,0,0,0
"997752",0,0,1,0,0,1,0,0,0,0,0,0
"998050",0,0,0,0,1,0,0,0,0,0,0,1
"998530",0,1,0,0,0,0,0,1,0,0,0,0
